product_code,product_name,cat_name,subcat_name,description,brand_name,unit_name,buy_price,sell_price,min_stock
831730002701,Pran Mixed Fruit Jam 500g,Jelly ,,,Pran LTD,PCS,100,130,
831730002541,Pran Apple Jelly 375g,Jelly ,,,Pran LTD,PCS,80,100,
831730001735,Pran Olive Pickle 1kg,Pickle,,,Pran LTD,BOX,194,240,
831730001650,Pran Mango Pickle 1kg,Pickle,,,Pran LTD,BOX,194,240,
831730001841,Pran Chilli Pickle 300g,Pickle,,,Pran LTD,PCS,95,115,
831730001636,Pran Mango Pickle 400g,Pickle,,,Pran LTD,PCS,107.5,135,
831730001711,pran Olive Pickle 400g,Pickle,,,Pran LTD,PCS,107,135,
831730001926,Pran Mixed Pickle 400g,Pickle,,,Pran LTD,PCS,107.5,135,
831730002367,Pran Chilli Sauce 340g,Sauce,,,Pran LTD,PCS,80,100,
846656005637,Pran Kasundi 300g,Sauce,,,Pran LTD,PCS,38,45,
8852671010398,KIng Bell Sweet Chili Sauce,Sauce,,,King Bell,PCS,108,145,
8850092012069,Vixol Cleaner Pink(450ml),Clener Item ,,,Kicco International,PCS,110,145,
8850092010065,Vixol Cleaner whaite(450ml),Clener Item ,,,Kicco International,PCS,110,145,
8850092010201,Vixol Cleaner whaite(900ml),Clener Item ,,,Kicco International,PCS,196,250,
8941101010876,Arong Milk 1ltr,Milk ,,,Arong Milk,PCS,61,65,
8941101010869,Arong Milk 500ml,Milk ,,,Arong Milk,PCS,32.5,35,
8852671019339,KIng Bell Chili Sauce,Sauce,,,King Bell,PCS,80,125,
8850356330304,BD Chili Souch 360g,Sauce,,,BD Foods Ltd ,PCS,68,80,
8850866249660,KIng Bell oyster Sauce,Sauce,,,King Bell,PCS,148,185,
8852671017021,KIng Bell Tamoto Sauce,Sauce,,,King Bell,PCS,80,120,
8852045202930,Meridian chilli sauch ,Sauce,,,Meridan Ltd,PCS,125,150,
6294002405800,Herman Mayonnaise 473 g,Sauce,,,Union Group,PCS,195,245,
6294002405817,Herman Mayonnaise 946g,Sauce,,,Union Group,PCS,240,320,
6294002406340,herman Peanut Butter(creamy)  340g ,Butter ,,,Union Group,PCS,260,325,
8901888000682,Dabur Chayawan prash ,Jelly ,,,Dabur ,PCS,260,299,
8410014896896,Nocilla Chocolate Jar 200g,Butter ,,,Shjeeb group,PCS,231,250,
8410014896902,Nocilla Mix 200g,Butter ,,,Shjeeb group,PCS,231,250,
5352101825736,Baking powder (Foster clarks),Baking Powder,,,Q&Q Ltd ,PCS,72,85,
