product_code,product_name,category_name,subcat_name,description,brand_name,unit_type,purchase_cost,sell_price,min_stock
"6295124024610","Disguise Men Perfume","perfume","perfume ",\N,\N,\N,"480","750","1"
"715387780321","Benetton Sport","perfume","perfume ",\N,\N,\N,"900","1260","1"
"752590041047","Royal Mirage","perfume","perfume ",\N,\N,\N,"640","960","1"
"8903105001144","Yardley Body Perfume","perfume","perfume ",\N,\N,\N,"350","525","1"
"8903105001168","Yardley Body Perfume","perfume","perfume ",\N,\N,\N,"350","525","1"
"752590043348","Eternal Love","perfume","perfume ",\N,\N,\N,"895","1295","1"
"8712561249140","AXE Body Spray","Body Spray","bodyspray",\N,\N,\N,"150","240","1"
"8712561251617","AXE Body Spray","Body Spray","bodyspray",\N,\N,\N,"150","240","1"
"8906055790328","Layer Shot","Body Spray","bodyspray",\N,\N,\N,"240","330","1"
"0000665","Jhonson Baby Powder","powder","johnsons powder",\N,\N,\N,"70","175","1"
"0000667","Jhnosons Powder","powder","johnsons powder",\N,\N,\N,"162.5","325","1"
"8901012111031","Jhonson Baby Powder 200g","powder","johnsons powder",\N,\N,\N,"140","196","2"
"8850007011132","Johnsons Baby Powder 100g","powder","johnsons powder",\N,\N,\N,"80","120","1"
"6944348508368","Amani Code Ladies Perfume","perfume","AMANI CODE",\N,\N,\N,"2800","3360","1"
"8694402008072","Doriva Magic","Chocolate","Doriva Magic",\N,\N,\N,"680","884","1"
"8692806047277","Simsek Roys","Chocolate","Simsek Roys",\N,\N,\N,"680","986","1"
